1951-09-15	Pius XII	P12INGRU.HTM	INGRUENTIUM MALORUM (On Reciting the Rosary)
1957-05-16	Pius XII	P12INVIC.HTM	INVICTI ATHLETAE (On St. Andrew Bobola)
1956-11-01	Pius XII	P12LAETA.HTM	INCIPIT (Subject)
1956-10-28	Pius XII	P12LUCTU.HTM	INCIPIT (Subject)
1950-07-19	Pius XII	P12MAERO.HTM	SUMMI MAERORIS (On Public Prayers For Peace)
1947-11-20	Pius XII	P12MEDIA.HTM	MEDIATOR DEI (On the Sacred Liturgy)
1958-07-14	Pius XII	P12MEMIN.HTM	MEMINISSE IUVAT (On Prayers For The Persecuted Church)
1950-12-06	Pius XII	P12MIRAB.HTM	MIRABILE ILLUD (On The Crusade Of Prayer For Peace)
1066-01-01	Pius XII	P12MIRAN.HTM	INCIPIT (Subject)
1948-10-24	Pius XII	P12MULTI.HTM	IN MULTIPLICIBUS CURIS (On Prayers For Peace In Palestine)
1955-12-25	Pius XII	P12MUSIC.HTM	MUSICAE SACRAE (On Sacred Music)
1943-06-29	Pius XII	P12MYSTI.HTM	MYSTICI CORPORIS CHRISTI (On the Mystical Body of Christ)
1945-12-23	Pius XII	P12OMNES.HTM	INCIPIT (Subject)
1947-12-18	Pius XII	P12OPTAT.HTM	INCIPIT (Subject)
1944-04-09	Pius XII	P12ORIEN.HTM	ORIENTALIS ECCLESIAE (On St. Cyril, Patriarch of Alexandria)
1957-07-02	Pius XII	P12PELER.HTM	INCIPIT (Subject)
1946-01-06	Pius XII	P12QUEMA.HTM	QUEMADMODUM (Pleading For the Care of the World's Destitute Children)
1947-03-21	Pius XII	P12RADIA.HTM	FULGENS RADIATUR (On St. Benedict)
1949-04-15	Pius XII	P12REDEM.HTM	REDEMPTORIS NOSTRI CRUCIATUS (On The Holy Places In Palestine)
1954-03-25	Pius XII	P12SACRA.HTM	SACRA VIRGINITAS (On Consecrated Virginity)
1940-06-13	Pius XII	P12SAECU.HTM	INCIPIT (Subject)
1951-09-08	Pius XII	P12SEMPI.HTM	SEMPITERNUS REX CHRISTUS (On The Council Of Chalcedon)
1939-11-01	Pius XII	P12SERTU.HTM	Establishment of the Hierarchy In the United States)
1954-10-07	Pius XII	P12SINAR.HTM	AD SINARUM GENTEM (On The Supranationality Of The Church)
1939-10-20	Pius XII	P12SUMMI.HTM	SUMMI PONTIFICATUS (On the Unity of Human Society)
1791-04-13	Pius VI	P6CHARIT.HTM	CHARITAS (On The Civil Oath In France)
1966-09-15	Paul VI	P6CHRIST.HTM	INCIPIT (Subject)
