Seq	PropersID	Year	Reference
1038	Ord. Time, Week 28, Sat	2	Ps 8:2-3ab, 4-5, 6-7
1039	Easter Octave, Thurs	1+2	Ps 8:2ab+5, 6-7, 8-9
1040	Ord. Time, Week 1, Tues	1	Ps 8:2ab+5, 6-7, 8-9
1041	Ord. Time, Week 5, Tues	1	Ps 8:4-5, 6-7, 8-9
1042	Jan 3: Most Holy Name of Jesus	1+2	Ps 8:4-5, 6-7, 8-9
1043	Ord. Time, Week 33, Sat	1	Ps 9:2-3, 4+6, 16+19
1044	Ord. Time, Week 27, Fri	1	Ps 9:2-3, 6+16, 8-9
1045	Ord. Time, Week 18, Sat	2	Ps 9:8-9, 10-11, 12-13
1046	Ord. Time, Week 15, Sat	2	Ps 10:1-2, 3-4, 7-8, 14
1047	Easter, Week 7, Sat morn.	1+2	Ps 11:4, 5+7
1048	Ord. Time, Week 6, Sat	2	Ps 12:2-3, 4-5, 7-8
1049	Ord. Time, Week 30, Wed	1	Ps 13:4-5, 6
1050	Sept 8: Nativity of the BVMary	1+2	Ps 13:6ab, 6c
1051	Ord. Time, Week 6, Wed	2	Ps 15:2-3a, 3bc-4ab, 5
1052	Ord. Time, Week 12, Tues	1	Ps 15:2-3a, 3bc-4ab, 5
1053	Ord. Time, Week 25, Mon	2	Ps 15:2-3a, 3bc-4ab, 5
1054	Ord. Time, Week 33, Tues	2	Ps 15:2-3a, 3bc-4ab, 5
1055	Ord. Time, Week 19, Sat	1	Ps 16:1-2a+5, 7-8, 11
1056	Easter Octave, Mon	1+2	Ps 16:1-2a+5, 7-8, 9-10, 11
1057	Easter, Week 7, Thurs	1+2	Ps 16:1-2a+5, 7-8, 9-10, 11
1058	Ord. Time, Week 10, Wed	2	Ps 16:1-2ab, 4, 5ab+8, 11
1059	Ord. Time, Week 23, Fri	1	Ps 16:1b-2a+5, 7-8, 11
1060	Ord. Time, Week 10, Sat	2	Ps 16:1b-2a+5, 7-8, 9-10
1061	Lent, Week 5, opt. Mass	1+2	Ps 17:1, 6-7, 8b+15
1062	Ord. Time, Week 14, Tues	1	Ps 17:1b, 2-3, 6-7ab, 8b+15
1063	Ord. Time, Week 26, Mon	2	Ps 17:1bcd, 2-3, 6-7
1064	Ord. Time, Week 33, Wed	1	Ps 17:1bcd, 5-6, 8b+15
1065	Ord. Time, Week 24, Fri	2	Ps 17:1bcd, 6-7, 8b+15
1066	Ord. Time, Week 18, Sat	1	Ps 18:2-3a, 3bc-4, 47+51
1067	Lent, Week 5, Fri	1+2	Ps 18:2-3a, 3bc-4, 5-6, 7
1068	Ord. Time, Week 4, Fri	2	Ps 18:31, 47+50, 51
1069	Ord. Time, Week 28, Tues	1	Ps 19:2-3, 4-5
1070	Ord. Time, Week 32, Fri	1	Ps 19:2-3, 4-5ab
1071	May 3: Sts. Philip and James, Apostles	1+2	Ps 19:2-3, 4-5
1072	Sept 21: St. Matthew, Apostle and Evangelist	1+2	Ps 19:2-3, 4-5
1073	Oct 28: Sts. Simon and Jude, Apostles	1+2	Ps 19:2-3, 4-5
1074	June 29: Solemnity: Sts. Peter and Paul, Vigil	1+2	Ps 19:2-3, 4-5
1075	Ord. Time, Week 8, Sat	1	Ps 19:8, 9, 10, 11
1076	Ord. Time, Week 13, Thurs	2	Ps 19:8, 9, 10, 11
1077	Ord. Time, Week 16, Fri	1	Ps 19:8, 9, 10, 11
1078	Ord. Time, Week 26, Thurs	1	Ps 19:8, 9, 10, 11
1079	Nov 30: St. Andrew, Apostle	1+2	Ps 19:8, 9, 10, 11
1080	Ord. Time, Week 1, Sat	1	Ps 19:8, 9, 10, 15
1081	Ord. Time, Week 7, Mon	2	Ps 19:8, 9, 10, 15
1082	Lent, Week 1, Mon	1+2	Ps 20:8, 9, 10, 15
1083	Ord. Time, Week 1, Sat	2	Ps 21:2-3, 4-5, 6-7
1084	Ord. Time, Week 20, Wed	1	Ps 21:2-3, 4-5, 6-7
1085	Ord. Time, Week 4, Tues	1	Ps 22:26b-27, 28+30, 31-32
1086	Ord. Time, Week 31, Tues	2	Ps 22:26b-27, 28-30ab, 30e, 31-32
1087	Advent, Week 1, Wed	1+2	Ps 23:1-3a, 3b-4, 5, 6
1088	Lent, Week 5, Mon	1+2	Ps 23:1-3a, 3b-4, 5, 6
1089	Ord. Time, Week 4, Sat	1	Ps 23:1-3a, 3b-4, 5, 6
1090	Ord. Time, Week 20, Wed	2	Ps 23:1-3a, 3b-4, 5, 6
1091	Ord. Time, Week 32, Wed	2	Ps 23:1b-3a, 3bc-4, 5, 6
1092	Feb 22: Chair of St. Peter, Apostle	1+2	Ps 23:1-3a, 4, 5, 6
1093	Advent, Dec. 20	1+2	Ps 24:1-2, 3-4ab, 5-6
1094	Ord. Time, Week 3, Thurs	1	Ps 24:1-2, 3-4ab, 5-6
1095	Ord. Time, Week 29, Fri	2	Ps 24:1-2, 3-4ab, 5-6
1096	Ord. Time, Week 29, Sat	1	Ps 24:1b-2, 3-4ab, 5-6
1097	Ord. Time, Week 32, Mon	2	Ps 24:1b-2, 3-4ab, 5-6
1098	Ord. Time, Week 22, Thurs	2	Ps 24:1bc-2, 3-4ab, 5-6
1099	Ord. Time, Week 34, Mon	2	Ps 24:1bc-2, 3-4ab, 5-6
1100	Nov 1: Solemnity: All Saints	1+2	Ps 24:1bc-2, 3-4ab, 5-6
1101	Ord. Time, Week 3, Tues	2	Ps 24:7, 8, 9, 10
1102	Feb 2: Feast: Presentation of the Lord	1+2	Ps 24:7, 8, 9, 10
1103	Ord. Time, Week 9, Wed	1	Ps 25:2-3, 4-5ab, 6+7bc, 8-9
1104	Advent, Week 3, Mon	1+2	Ps 25:4-5ab, 6+7bc, 8-9
1105	Lent, Week 3, Tues	1+2	Ps 25:4-5ab, 6+7bc, 8-9
1106	Advent, Dec. 23	1+2	Ps 25:4-5ab, 8-9, 10+14
