Seq,Reference,PropersID,Year
281,Ezek 37:21-28,"Lent, Week 5, Sat",1+2
282,Ezek 43:1-7ab,"Ord. Time, Week 20, Sat",2
283,"Ezek 47:1-2, 8-9, 12",Nov 9: Feast: Dedication of the Lateran Basilica in Rome,1+2
284,"Ezek 47:1-9, 12","Lent, Week 4, Tues",1+2
285,"Dan 1:1-6, 8-20","Ord. Time, Week 34, Mon",1
286,Dan 2:31-45,"Ord. Time, Week 34, Tues",1
287,"Dan 3:14-20, 91-92, 95","Lent, Week 5, Wed",1+2
288,"Dan 3:25, 34-43","Lent, Week 3, Tues",1+2
289,"Dan 3:52, 53, 54, 55, 56","Lent, Week 5, Wed",1+2
290,"Dan 3:52, 53, 54, 55, 56","Ord. Time, Week 16, Thurs",1
291,"Dan 3:52, 53, 54, 55, 56","Ord. Time, Week 34, Mon",1
292,"Dan 3:57, 58, 59, 60, 61","Ord. Time, Week 34, Tues",1
293,"Dan 3:62, 63, 64, 65, 66, 67","Ord. Time, Week 34, Wed",1
294,"Dan 3:68, 69, 70, 71, 72, 73, 74","Ord. Time, Week 34, Thurs",1
295,"Dan 3:75, 76, 77, 78, 79, 80, 81","Ord. Time, Week 34, Fri",1
296,"Dan 3:82, 83, 84, 85, 86, 87","Ord. Time, Week 34, Sat",1
297,"Dan 5:1-6, 13-14, 16-17, 23-28","Ord. Time, Week 34, Wed",1
298,Dan 6:12-28,"Ord. Time, Week 34, Thurs",1
299,Dan 7:2-14,"Ord. Time, Week 34, Fri",1
300,"Dan 7:9-10, 13-14",Aug 6: Feast: Transfiguration of the Lord,1+2
301,"Dan 7:9-10, 13-14","Sept 29: Sts. Michael, Gabriel, and Raphael, archangels (option 1)",1+2
302,Dan 7:15-27,"Ord. Time, Week 34, Sat",1
303,Dan 9:4b-10,"Lent, Week 2, Mon",1+2
304,"Dan 13:1-9, 15-17, 19-30, 33-62 or 13:41c-62","Lent, Week 5, Mon",1+2
305,"Hos 2:16, 17c-18, 21-22","Ord. Time, Week 14, Mon",2
306,Hos 6:1-6,"Lent, Week 3, Sat",1+2
307,"Hos 8:4-7, 11-13","Ord. Time, Week 14, Tues",2
308,"Hos 10:1-3, 7-8, 12","Ord. Time, Week 14, Wed",2
309,"Hos 11:1-4, 8e-9","Ord. Time, Week 14, Thurs",2
310,Hos 14:2-10,"Lent, Week 3, Fri",1+2
311,Hos 14:2-10,"Ord. Time, Week 14, Fri",2
312,Joel 1:13-15; 2:1-2,"Ord. Time, Week 27, Fri",1
313,Joel 2:12-18,Ash Wednesday (1st Reading),1+2
314,Joel 4:12-21,"Ord. Time, Week 27, Sat",1
315,"Amos 2:6-10, 13-16","Ord. Time, Week 13, Mon",2
316,Amos 3:1-8; 4:11-12,"Ord. Time, Week 13, Tues",2
317,"Amos 5:14-15, 21-24","Ord. Time, Week 13, Wed",2
318,Amos 7:10-17,"Ord. Time, Week 13, Thurs",2
319,"Amos 8:4-6, 9-12","Ord. Time, Week 13, Fri",2
320,Amos 9:11-15,"Ord. Time, Week 13, Sat",2
321,"Jonah 1:1-2:2, 11","Ord. Time, Week 27, Mon",1
322,Jonah 3:1-10,"Lent, Week 1, Wed",1+2
323,Jonah 3:1-10,"Ord. Time, Week 27, Tues",1
324,Jonah 4:1-11,"Ord. Time, Week 27, Wed",1
325,"Jonah 2:3, 4, 5, 8","Ord. Time, Week 27, Mon",1
326,Micah 2:1-5,"Ord. Time, Week 15, Sat",2
327,Micah 5:1-4a,Sept 8: Nativity of the BVMary (option 1),1+2
328,"Micah 6:1-4, 6-8","Ord. Time, Week 16, Mon",2
329,Micah 7:7-9,"Lent, Week 4, opt. Mass",1+2
330,"Micah 7:14-15, 18-20","Lent, Week 2, Sat",1+2
331,"Micah 7:14-15, 18-20","Ord. Time, Week 16, Tues",2
332,"Nahum 2:1, 3; 3:1-3, 6-7","Ord. Time, Week 18, Fri",2
333,Hab 1:12-2:4,"Ord. Time, Week 18, Sat",2
334,"Zeph 3:1-2, 9-13","Advent, Week 3, Tues",1+2
335,Zeph 3:14-18a,"Advent, Dec. 21 (opt. 2)",1+2
336,Zeph 3:14-18a,May 31: Visitation of the BVMary (option 1),1+2
337,Haggai 1:1-8,"Ord. Time, Week 25, Thurs",1
338,Haggai 2:1-9,"Ord. Time, Week 25, Fri",1
339,"Zech 2:5-9, 14-15a","Ord. Time, Week 25, Sat",1
340,Zech 2:14-17,Dec 12: Our Lady of Guadalupe (option 1),1+2
341,Zech 8:1-8,"Ord. Time, Week 26, Mon",1
342,Zech 8:20-23,"Ord. Time, Week 26, Tues",1
343,Mal 3:1-4,Feb 2: Feast: Presentation of the Lord,1+2
344,"Mal 3:1-4, 23-24","Advent, Dec. 23",1+2
345,Mal 3:13-20b,"Ord. Time, Week 27, Thurs",1
346,"Matt 1:1-16, 18-23 or 1:18-23",Sept 8: Nativity of the BVMary,1+2
347,Matt 1:1-17,"Advent, Dec. 17",1+2
