HymnID	HymnNoticeText	HymnalID	HymnNumber	HymnFirstLine	Metre	Tune	Occasion	Plainsong	Alternates
CH0318	CH318 Jesu, Jesu, fill us with your love	CH	318	Jesu, Jesu, fill us with your love
CH0319	CH319 Jesu, lover of my soul	CH	319	Jesu, lover of my soul
CH0320	CH320 Jesu, meek and lowly	CH	320	Jesu, meek and lowly
CH0321	CH321 Jesu, the very thought of thee	CH	321	Jesu, the very thought of thee
CH0322	CH322 Jesus Christ is ris'n today	CH	322	Jesus Christ is ris'n today
CH0323	CH323 Jesus Christ is waiting	CH	323	Jesus Christ is waiting
CH0324	CH324 Jesus Christ, little Lord	CH	324	Jesus Christ, little Lord
CH0325	CH325 Jesus, gentlest Saviour	CH	325	Jesus, gentlest Saviour
CH0326	CH326 Jesus is Lord! Creation's voice proclaims it	CH	326	Jesus is Lord! Creation's voice proclaims it
CH0327	CH327 Jesus, lead the way	CH	327	Jesus, lead the way
CH0328	CH328 Jesus, Lord, I'll sing a song	CH	328	Jesus, Lord, I'll sing a song
CH0329	CH329 Jesus, my Lord, my God, my all	CH	329	Jesus, my Lord, my God, my all
CH0330	CH330 Jesus, the holy Lamb of God	CH	330	Jesus, the holy Lamb of God
CH0331	CH331 Jesus the Word has lived among us	CH	331	Jesus the Word has lived among us
CH0332	CH332 Jesus, thou art coming	CH	332	Jesus, thou art coming
CH0333	CH333 Join in the dance	CH	333	Join in the dance
CH0334	CH334 Bread, blessed and broken for us all	CH	334	Bread, blessed and broken for us all
CH0334	CH334 Jesus, you're the one I love	CH	334	Jesus, you're the one I love
CH0335	CH335 Joy to the world	CH	335	Joy to the world
CH0336	CH336 Jubilate Deo omnis terra	CH	336	Jubilate Deo omnis terra
CH0337	CH337 Jubilate Deo (Praetorius)	CH	337	Jubilate Deo (Praetorius)
CH0338	CH338 Jubilate, ev'rybody, serve the Lord	CH	338	Jubilate, ev'rybody, serve the Lord
CH0339	CH339 Just as I am	CH	339	Just as I am
CH0340	CH340 Keep in mind that Jesus Christ	CH	340	Keep in mind that Jesus Christ
CH0341	CH341 Keep we the fast our ancestors learned	CH	341	Keep we the fast our ancestors learned
CH0342	CH342 Kindle a flame	CH	342	Kindle a flame
CH0343	CH343 King of glory, king of peace	CH	343	King of glory, king of peace
CH0344	CH344 Kum ba yah, my Lord	CH	344	Kum ba yah, my Lord
CH0345	CH345 Lamb of God, Holy One	CH	345	Lamb of God, Holy One
CH0346	CH346 Laudate Dominum	CH	346	Laudate Dominum
CH0347	CH347 Lay your hands	CH	347	Lay your hands
CH0348	CH348 Lead, kindly light	CH	348	Lead, kindly light
CH0349	CH349 Lead me, guide me	CH	349	Lead me, guide me
CH0350	CH350 Lead us from death to life	CH	350	Lead us from death to life
CH0350	CH350 World peace prayer	CH	350	World peace prayer
