Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-07-11	Sun	NOE	ORDINARY TIME XV		ORDINARY TIME XV
2027-07-12	Mon	NOE	Ord Time XV:Mon		Ord Time XV:Mon
2027-07-13	Tue	NOE	Ord Time XV:Tue		Ord Time XV:Tue	St Henry of Bavaria, Holy Roman Emperor
2027-07-14	Wed	NOE	Ord Time XV:Wed		Ord Time XV:Wed	St Camillus of Lellis, Priest
2027-07-15	Thu	NOE	St Swithun, Bishop		St Swithun, Bishop
2027-07-16	Fri	NOE	Ord Time XV:Fri		Ord Time XV:Fri	Our Lady of Mount Carmel
2027-07-17	Sat	NOE	St Bonaventure, Bishop, Doctor		St Bonaventure, Bishop, Doctor
2027-07-18	Sun	NOE	ORDINARY TIME XVI		ORDINARY TIME XVI
2027-07-19	Mon	NOE	Ord Time XVI:Mon		Ord Time XVI:Mon
2027-07-20	Tue	NOE	Ord Time XVI:Tue		Ord Time XVI:Tue	St Apollinaris, Bishop, Martyr
2027-07-21	Wed	NOE	Ord Time XVI:Wed		Ord Time XVI:Wed	St Laurence of Brindisi, Priest, Doctor
2027-07-22	Thu	NOE	St Mary Magdalene		St Mary Magdalene
2027-07-23	Fri	NOE	St Bridget of Sweden, Europe Co-Patron		St Bridget of Sweden, Europe Co-Patron
2027-07-24	Sat	NOE	Ord Time XVI:Sat		Ord Time XVI:Sat	St Charbel Makhlouf, Priest	Saturday memorial of our Lady
2027-07-25	Sun	NOE	ORDINARY TIME XVII		ORDINARY TIME XVII
2027-07-26	Mon	NOE	St Joachim & Saint Anne, Parents of our Lady		St Joachim & Saint Anne, Parents of our Lady
2027-07-27	Tue	NOE	Ord Time XVII:Tue		Ord Time XVII:Tue
2027-07-28	Wed	NOE	Ord Time XVII:Wed		Ord Time XVII:Wed
2027-07-29	Thu	NOE	Ss Martha, Mary & Lazarus		Ss Martha, Mary & Lazarus
2027-07-30	Fri	NOE	Ord Time XVII:Fri		Ord Time XVII:Fri	St Peter Chrysologus, Bishop, Doctor
2027-07-31	Sat	NOE	St Ignatius of Loyola, Founder, Priest		St Ignatius of Loyola, Founder, Priest
